object,ra,dec
SN 2007K,09:14:26.210,+36:06:52.42
SN 2006tf,12:46:15.821,+11:25:56.32
SN 2006rx,23:43:10.289,-20:40:53.69
SN 2006rc,00:22:18.259,+27:53:19.90
SN 2006qt,03:40:02.719,-04:34:18.70
SN 2006qq,05:19:50.429,-20:58:06.38
SN 2006jl,20:32:04.670,-00:34:28.31
SN 2006gy,03:17:27.060,+41:24:19.51
SN 2006fp,22:45:41.131,+73:09:47.81
SN 2006eh,02:50:11.950,+47:03:20.48
SN 2006dn,22:47:37.841,+39:52:46.81
SN 2006df,21:49:57.670,+32:01:58.69
SN 2006dc,16:16:04.039,-22:37:16.72
SN 2006db,11:55:38.690,+44:23:01.39
SN 2006cy,13:08:01.229,+26:06:59.00
SN 2006cv,14:47:47.830,+23:17:58.60
SN 2006cu,14:47:43.310,+09:39:33.91
SN 2006bv,12:41:01.550,+63:31:11.60
SN 2006bo,20:30:41.899,+09:11:40.81
SN 2006am,14:27:37.241,+41:15:35.39
SN 2006ag,12:00:17.119,+28:36:22.00
SN 2006aa,11:53:19.891,+20:45:18.22
SN 2006M,13:27:19.759,+31:47:14.50
SN 2006L,13:07:11.760,+28:38:46.21
SN 2005mt,10:24:12.900,-03:44:50.60
SN 2005mj,21:31:49.440,-01:04:09.80
SN 2005ma,04:49:53.909,-10:45:23.40
SN 2005ly,01:23:28.841,+30:46:45.70
SN 2005kj,08:40:09.180,-05:36:02.20
SN 2005kd,04:03:16.879,+71:43:18.91
SN 2005jr,01:00:12.370,+00:20:26.92
SN 2005jq,20:29:47.681,+01:08:33.68
SN 2005gn,05:48:49.070,-24:22:45.52
SN 2005gl,00:49:50.021,+32:16:56.78
SN 2005ep,16:56:35.489,+58:01:30.22
SN 2005ds,17:57:39.890,+27:50:18.38
SN 2005db,00:41:26.791,+25:29:51.61
SN 2005cp,23:59:30.881,+18:12:09.61
SN 2005cl,21:02:02.350,-06:17:35.70
SN 2005av,20:44:37.579,-68:45:10.58
SN 2005aq,04:31:38.820,-04:35:06.79
SN 2005R,11:14:56.810,+33:49:35.69
SN 2004gd,07:09:11.710,+20:36:10.58
SN 2004ec,17:08:04.961,+26:22:44.40
SN 2004ay,18:28:57.569,+51:38:55.72
SN 2003ma,05:31:01.879,-70:04:15.89
SN 2003lo,03:37:05.119,-05:02:17.30
SN 2003ke,09:45:52.961,+34:41:01.39
SN 2003jh,04:16:37.301,-12:23:32.89
SN 2003hy,21:54:22.721,+15:09:37.80
SN 2003go,19:52:47.681,-19:11:28.21
SN 2003ei,16:28:40.301,+12:46:05.81
SN 2003ee,11:33:24.499,-09:59:26.41
SN 2003dv,14:58:04.920,+58:52:49.91
SN 2003as,05:28:45.809,+49:52:59.09
SN 2003G,02:08:28.130,+06:23:51.90
SN 2002kg,07:37:01.831,+65:34:29.32
SN 2002hi,07:19:54.079,+17:58:18.19
SN 2002fj,08:40:45.101,-04:07:38.50
SN 2002ea,02:08:25.080,+14:20:52.80
SN 2002cb,13:04:23.969,+47:35:53.20
SN 2002bv,07:50:01.130,+30:01:32.20
SN 2002bj,05:11:46.411,-15:08:10.79
SN 2002A,07:22:36.139,+71:35:41.50
SN 2001ir,08:36:28.121,-11:50:03.52
SN 2001fa,01:48:22.219,+11:31:34.39
SN 2001ey,22:26:30.770,-06:23:28.61
SN 2001ac,11:03:15.370,+27:58:29.50
SN 2001I,03:43:57.281,+39:17:39.41
SN 2000ev,06:47:52.001,+84:10:02.21
SN 2000eo,03:09:08.170,-10:17:55.28
SN 2000ct,17:01:03.641,+33:28:45.01
SN 2000cl,10:37:16.070,-41:37:47.78
SN 2000ch,10:52:41.400,+36:40:08.51
SN 2000cd,10:56:48.691,-05:34:40.80
SN 2000bg,16:52:58.130,+02:23:50.50
SN 2000P,13:07:10.529,-28:14:02.51
SN 1999gb,08:10:13.699,+33:57:29.81
SN 1999ey,00:58:03.350,-27:40:33.38
SN 1999el,20:37:17.719,+66:06:11.48
SN 1999eb,01:43:45.451,+04:13:25.90
SN 1999bw,10:19:46.810,+45:31:35.00
SN 1999Z,10:22:37.231,+27:21:19.80
SN 1999E,13:17:16.370,-18:33:13.39
SN 1998ct,15:51:11.669,+21:56:35.99
SN 1998E,13:29:02.000,+33:10:00.00
SN 1997cs,15:13:39.780,+02:53:44.48
SN 1997cq,16:29:50.861,+39:45:20.30
SN 1997cl,13:54:18.710,-27:44:27.89
SN 1997bs,11:20:14.251,+12:58:19.60
SN 1996cr,14:13:10.010,-65:20:44.41
SN 1996bu,11:20:59.299,+53:12:08.39
SN 1996ae,14:53:59.810,+03:31:46.31
SN 1996L,11:38:37.800,-43:25:13.80
SN 1995aa,22:59:09.730,-04:30:57.31
SN 1995N,14:49:28.270,-10:10:15.38
SN 1994ak,09:14:01.469,+40:06:21.49
SN 1994Y,13:55:36.910,+40:27:53.60
