"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"30664","SN 2018hse","03:50:06.280","-11:00:12.28","SN IIn","0.13","","","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF18acbvhfl","P48 - ZTF-Cam, ATLAS1 - ACAM1, PS1 - GPC1, Gaia - Gaia-photometric","","1","1","","20.66","g-ZTF","2018-10-06 09:28:48","ZTF_Bot1","",""
"30661","SN 2018hsb","01:18:00.213","+02:03:27.65","SN IIn","0.136","","","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF18abuicad","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","20.01","g-ZTF","2018-09-10 09:05:45","ZTF_Bot1","",""
"30582","SN 2018hpb","22:01:34.510","-17:27:45.18","SN IIn","0.0177","","","ATLAS, GaiaAlerts, ZTF","ASAS-SN","ATLAS; GaiaAlerts; ZTF","ATLAS18yaz","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","MDM-2.4 - OSMOS","1","1","","17.149","orange-ATLAS","2018-10-25 08:55:40","ATLAS_Bot1","",""
"30325","SN 2018hfg","08:52:56.190","+42:24:46.48","SN IIn","0.023863","UGC 04642","0.023863","ASAS-SN, ATLAS, GaiaAlerts, Pan-STARRS1, ZTF","TNTS, Padova-Asiago, LOSS","ASAS-SN; ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ASASSN-18xk","ASASSN-4 - Leavitt, ATLAS1 - ACAM1, Gaia - Gaia-photometric, PS1 - GPC1, P48 - ZTF-Cam","BAO-2.16m - Cassegrain, Lick-3m - KAST","1","1","","16.9","g-Sloan","2018-10-09 11:45:36","Stanek","",""
"30073","SN 2018gwa","07:20:16.740","+41:20:47.87","SN IIn","0.0659","","","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF18abxbhov","P48 - ZTF-Cam, Gaia - Gaia-photometric","P200 - DBSP","1","1","","19.93","r-ZTF","2018-09-16 11:11:02","ZTF_Bot1","",""
"29766","SN 2018gkf","07:53:11.880","+23:39:06.23","SN IIn","0.0819","","","ZTF, GaiaAlerts, Pan-STARRS1","ZTF","GaiaAlerts; Pan-STARRS1; ZTF","ZTF18abvgjgb","P48 - ZTF-Cam, Gaia - Gaia-photometric, PS1 - GPC1","","1","1","","18.69","r-ZTF","2018-09-11 12:23:02","ZTF_Bot1","",""
"29654","SN 2018gfx","02:33:11.524","-01:18:20.41","SN IIn","0.0503","","","ZTF, ATLAS","ePESSTO, ZTF","ATLAS; ZTF","ZTF18abtswjk","P48 - ZTF-Cam, ATLAS1 - ACAM1","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.95","g-ZTF","2018-09-08 11:25:26","ZTF_Bot1","",""
"29605","SN 2018gea","00:56:20.696","-09:34:59.94","SN IIn","0.103","","","ATLAS, Pan-STARRS1","ePESSTO","ATLAS; Pan-STARRS1","ATLAS18uxz","ATLAS1 - ACAM1, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.652","orange-ATLAS","2018-09-09 13:19:12","ATLAS_Bot1","",""
"28920","SN 2018fdt","17:04:44.330","+38:14:08.02","SN IIn","0.055","","","ATLAS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts","ATLAS18tuy","ATLAS1 - ACAM1, Gaia - Gaia-photometric","","1","1","","19.458","cyan-ATLAS","2018-08-14 08:22:33","ATLAS_Bot1","",""
"28609","SN 2018eru","12:20:27.807","+41:47:34.41","SN IIn","0.03069","","","ZTF","ZTF","ZTF","ZTF18ablqehq","P48 - ZTF-Cam","","1","1","","19.05","g-ZTF","2018-08-06 04:19:12","ZTF_Bot1","",""
